project_id,organization,appropriateness,thoroughness,feasibility,expected_effectiveness,raw
P01,City Public Health Department,,,,,"[MOCK-6cb852be] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P02,Regional Homeless Services Agency,,,,,"[MOCK-800a5011] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P03,County Transportation Authority,,,,,"[MOCK-8b3040e0] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P04,Wildlife Conservation Network,,,,,"[MOCK-e5f8f905] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P05,State Workforce Development Office,,,,,"[MOCK-b3371cfd] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P06,School District Equity Office,,,,,"[MOCK-28cb2761] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P07,Food Security Nonprofit,,,,,"[MOCK-680d9409] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P08,Urban Flood Response Unit,,,,,"[MOCK-daa9f15d] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P09,Legal Aid Clinic,,,,,"[MOCK-eb6d31c6] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P10,Mental Health Support Network,,,,,"[MOCK-8f1df2cc] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P11,Community Water Utility,,,,,"[MOCK-0ddedbf3] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P12,Aging Services Agency,,,,,"[MOCK-e37c0f95] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P13,Immigrant Support Center,,,,,"[MOCK-0834479f] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P14,Clean Energy Planning Office,,,,,"[MOCK-2e9f4d9f] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P15,Maternal Health Initiative,,,,,"[MOCK-5e7895e7] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P16,Public Library Network,,,,,"[MOCK-42eee69e] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P17,Agricultural Extension Service,,,,,"[MOCK-42139029] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P18,Youth Employment Nonprofit,,,,,"[MOCK-8b81d463] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P19,Urban Air Quality Lab,,,,,"[MOCK-3b835357] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P20,Food and Nutrition Program,,,,,"[MOCK-1044c267] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
P21,Community Safety Partnership,,,,,"[MOCK-0d9fe369] Background: This project addresses a socially relevant operational problem. Challenges: data quality, limited resources, and workflow coordination. Methods: retrieval, classification, prioritization, and human review. Proposal: a staged AI-assisted workflow with safeguards, monitoring, and evaluation."
